20341,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,122,120,124,4,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,122,ΘΕΣΣΑΛΟΝΙΚΗ",40.63731345026866, 22.94988421384009
20471,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,118,116,118,8,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,118,ΘΕΣΣΑΛΟΝΙΚΗ",40.6374852799512, 22.9491777619626
20593,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,115,113,117,5,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,115,ΘΕΣΣΑΛΟΝΙΚΗ",40.637070028214204, 22.950560337038265
20703,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,107,103,111,5,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,107,ΘΕΣΣΑΛΟΝΙΚΗ",40.637371441502545, 22.94992456979184
20731,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,108,98,112,7,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,108,ΘΕΣΣΑΛΟΝΙΚΗ",40.638049303751686, 22.948381007501318
21023,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,89,83,95,20,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,89,ΘΕΣΣΑΛΟΝΙΚΗ",40.63805638790069, 22.948534614103583
21061,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,88,86,90,7,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,88,ΘΕΣΣΑΛΟΝΙΚΗ",40.63909617859479, 22.946358260385743
21351,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,76,70,84,14,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,76,ΘΕΣΣΑΛΟΝΙΚΗ",40.63952591084416, 22.94546825351553
21413,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,69,63,73,15,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,69,ΘΕΣΣΑΛΟΝΙΚΗ",40.63960552245937, 22.945464349713657
21453,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,79,75,81,26,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,79,ΘΕΣΣΑΛΟΝΙΚΗ",40.63879345499296, 22.947107023138386
21591,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,0,0,0,10,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,0,ΘΕΣΣΑΛΟΝΙΚΗ",40.64029958215323, 22.944065597564563
28141,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,170,168,172,4,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,170,ΘΕΣΣΑΛΟΝΙΚΗ",40.63497610383623, 22.954863059854826
28151,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,174,174,174,12,"ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,174,ΘΕΣΣΑΛΟΝΙΚΗ",40.63464989774909, 22.955597975966775
19221,ΒΑΣ. ΗΡΑΚΛΕΙΟΥ,30,26,34,10,"ΒΑΣ. ΗΡΑΚΛΕΙΟΥ,30,ΘΕΣΣΑΛΟΝΙΚΗ",40.63434852063541, 22.94193845985478
19441,ΒΑΣ. ΗΡΑΚΛΕΙΟΥ,22,18,24,12,"ΒΑΣ. ΗΡΑΚΛΕΙΟΥ,22,ΘΕΣΣΑΛΟΝΙΚΗ",40.635116537650475, 22.940660418402608
16971,ΒΑΣΙΛΕΩΣ ΓΕΩΡΓΙΟΥ,0,0,0,7,"ΒΑΣΙΛΕΩΣ ΓΕΩΡΓΙΟΥ,0,ΘΕΣΣΑΛΟΝΙΚΗ",40.62275310447722, 22.95317673814979
19282,ΒΕΝΙΖΕΛΟΥ ΕΛ.,3,1,5,5,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,3,ΘΕΣΣΑΛΟΝΙΚΗ",40.6344417105454, 22.93919791189842
19444,ΒΕΝΙΖΕΛΟΥ ΕΛ.,22,18,26,10,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,22,ΘΕΣΣΑΛΟΝΙΚΗ",40.63506518075173, 22.9399738132135
19664,ΒΕΝΙΖΕΛΟΥ ΕΛ.,32,28,34,4,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,32,ΘΕΣΣΑΛΟΝΙΚΗ",40.63566016897649, 22.94063105645993
19752,ΒΕΝΙΖΕΛΟΥ ΕΛ.,11,9,13,6,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,11,ΘΕΣΣΑΛΟΝΙΚΗ",40.63513734864538, 22.939947417957534
19892,ΒΕΝΙΖΕΛΟΥ ΕΛ.,17,15,19,8,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,17,ΘΕΣΣΑΛΟΝΙΚΗ",40.63565173484685, 22.940485680913863
20042,ΒΕΝΙΖΕΛΟΥ ΕΛ.,23,21,23,4,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,23,ΘΕΣΣΑΛΟΝΙΚΗ",40.63616041934911, 22.94106395321993
20082,ΒΕΝΙΖΕΛΟΥ ΕΛ.,31,25,37,6,"ΒΕΝΙΖΕΛΟΥ ΕΛ.,31,ΘΕΣΣΑΛΟΝΙΚΗ",40.63649696784763, 22.941418652907654
19384,ΓΕΝΝΑΔΙΟΥ ΜΗΤΡ.,6,4,8,9,"ΓΕΝΝΑΔΙΟΥ ΜΗΤΡ.,6,ΘΕΣΣΑΛΟΝΙΚΗ",40.63498550664003, 22.94514845687459
