,Date,Day Name,Day,Mouth,Year,Time,Latitude,Longitude,Zone,Slot_id,Legal,Covid,Lockdown
56,2018-01-03,Wednesday,3,1,2018,15:20,40.6304284,22.9454246,A,18143,0,0,0
57,2018-01-03,Wednesday,3,1,2018,15:20,40.63003912,22.95246303,A,17972,1,0,0
58,2018-01-03,Wednesday,3,1,2018,15:21,40.62922104,22.953399,A,17622,0,0,0
59,2018-01-03,Wednesday,3,1,2018,15:21,40.63012047,22.95244663,A,17972,0,0,0
60,2018-01-03,Wednesday,3,1,2018,15:22,40.62916706,22.95316777,A,17622,0,0,0
61,2018-01-03,Wednesday,3,1,2018,15:22,40.63045903,22.94525652,A,18143,0,0,0
62,2018-01-03,Wednesday,3,1,2018,15:22,40.6302463,22.94597499,A,6,0,0,0
63,2018-01-03,Wednesday,3,1,2018,15:23,40.63046812,22.94524873,A,18143,0,0,0
64,2018-01-03,Wednesday,3,1,2018,15:23,40.63012376,22.95246062,A,17972,1,0,0
65,2018-01-03,Wednesday,3,1,2018,15:24,40.63046056,22.94525448,A,18143,0,0,0
66,2018-01-03,Wednesday,3,1,2018,15:25,40.63054092,22.94512983,A,18143,0,0,0
67,2018-01-03,Wednesday,3,1,2018,15:26,40.63055954,22.94504225,A,18143,1,0,0
68,2018-01-03,Wednesday,3,1,2018,15:26,40.62907717,22.95322537,A,17622,0,0,0
69,2018-01-03,Wednesday,3,1,2018,15:26,40.62907648,22.95323941,A,17622,0,0,0
70,2018-01-03,Wednesday,3,1,2018,15:26,40.62908333,22.95324808,A,17622,0,0,0
71,2018-01-03,Wednesday,3,1,2018,15:27,40.62980028,22.95216539,A,17734,1,0,0
72,2018-01-03,Wednesday,3,1,2018,15:18,40.62956675,22.95360264,A,18022,0,0,0
73,2018-01-03,Wednesday,3,1,2018,15:18,40.62956675,22.95360264,A,18022,0,0,0
74,2018-01-03,Wednesday,3,1,2018,15:18,40.62999945,22.94609113,A,17963,1,0,0
75,2018-01-03,Wednesday,3,1,2018,15:18,40.62997854,22.946152,A,17963,1,0,0
76,2018-01-03,Wednesday,3,1,2018,15:14,40.62978119,22.95381043,A,18022,1,0,0
77,2018-01-03,Wednesday,3,1,2018,15:14,40.62978119,22.95381043,A,18022,0,0,0
78,2018-01-03,Wednesday,3,1,2018,15:14,40.62978119,22.95381043,A,18022,1,0,0
79,2018-01-03,Wednesday,3,1,2018,15:14,40.62953586,22.94668193,A,17813,0,0,0
80,2018-01-03,Wednesday,3,1,2018,15:14,40.62977019,22.95383391,A,18022,0,0,0
81,2018-01-03,Wednesday,3,1,2018,15:14,40.63069007,22.9527083,A,28323,0,0,0
82,2018-01-03,Wednesday,3,1,2018,15:14,40.62976724,22.95384532,A,18022,0,0,0
83,2018-01-03,Wednesday,3,1,2018,15:14,40.6296568,22.94635082,A,17963,0,0,0
84,2018-01-03,Wednesday,3,1,2018,15:15,40.62982739,22.94648837,A,17963,1,0,0
85,2018-01-03,Wednesday,3,1,2018,15:15,40.63005278,22.95251769,A,18024,0,0,0
86,2018-01-03,Wednesday,3,1,2018,15:13,40.62951427,22.94675472,A,17813,1,0,0
87,2018-01-03,Wednesday,3,1,2018,15:15,40.62981935,22.95360719,A,18022,0,0,0
88,2018-01-03,Wednesday,3,1,2018,15:16,40.62998173,22.94613891,A,17963,1,0,0
89,2018-01-03,Wednesday,3,1,2018,15:16,40.63045044,22.95279652,A,18024,1,0,0
90,2018-01-03,Wednesday,3,1,2018,15:16,40.63008813,22.94579498,A,18143,0,0,0
91,2018-01-03,Wednesday,3,1,2018,15:17,40.63009358,22.94569231,A,18143,1,0,0
92,2018-01-03,Wednesday,3,1,2018,15:17,40.62969783,22.95365253,A,18022,0,0,0
93,2018-01-03,Wednesday,3,1,2018,15:17,40.62973689,22.95380618,A,18022,0,0,0
94,2018-01-03,Wednesday,3,1,2018,15:17,40.63008964,22.95255848,A,18024,0,0,0
95,2018-01-03,Wednesday,3,1,2018,15:17,40.63012894,22.94562991,A,18143,0,0,0
96,2018-01-03,Wednesday,3,1,2018,15:17,40.62973689,22.95380618,A,18022,1,0,0
97,2018-01-03,Wednesday,3,1,2018,15:18,40.62953278,22.95344569,A,18022,0,0,0
98,2018-01-03,Wednesday,3,1,2018,15:16,40.62990256,22.94611021,A,17963,1,0,0
99,2018-01-03,Wednesday,3,1,2018,14:46,40.6276235,22.94999445,A,27,1,0,0
100,2018-01-03,Wednesday,3,1,2018,14:46,40.6276235,22.94999445,A,27,1,0,0
101,2018-01-03,Wednesday,3,1,2018,14:44,40.6278916,22.94947085,A,28,0,0,0
102,2018-01-03,Wednesday,3,1,2018,12:12,40.63616314,22.94587879,A,20548,0,0,0
